StateID,TemporalPropertyID,BinID,BinLow,BinHigh
1,1,0,-inf,13.857839092219816
2,1,1,13.857839092219816,22.48164989685266
3,1,2,22.48164989685266,29.11661591399487
4,1,3,29.11661591399487,35.306111358732394
5,1,4,35.306111358732394,41.94107737587461
6,1,5,41.94107737587461,50.56488818050745
7,1,6,50.56488818050745,inf
8,2,0,-inf,inf
9,3,0,-inf,inf
10,4,0,-inf,20.350947773590992
11,4,1,20.350947773590992,23.005280324751332
12,4,2,23.005280324751332,25.047464073226212
13,4,3,25.047464073226212,26.952535926773788
14,4,4,26.952535926773788,28.994719675248668
15,4,5,28.994719675248668,31.649052226409008
16,4,6,31.649052226409008,inf
17,5,0,-inf,inf
18,6,0,-inf,26.332587423886448
19,6,1,26.332587423886448,35.30749676918674
20,6,2,35.30749676918674,42.212590104607465
21,6,3,42.212590104607465,48.654076562059196
22,6,4,48.654076562059196,55.55916989747992
23,6,5,55.55916989747992,64.53407924278021
24,6,6,64.53407924278021,inf
25,39,0,-inf,6.1754689889662355
26,39,1,6.1754689889662355,6.9766913703954625
27,39,2,6.9766913703954625,7.593133845003185
28,39,3,7.593133845003185,8.168188469046399
29,39,4,8.168188469046399,8.784630943654122
30,39,5,8.784630943654122,9.585853325083349
31,39,6,9.585853325083349,inf
32,40,0,-inf,76.26784043321165
33,40,1,76.26784043321165,84.37690488516672
34,40,2,84.37690488516672,90.61583663916971
35,40,3,90.61583663916971,96.43588749876133
36,40,4,96.43588749876133,102.67481925276432
37,40,5,102.67481925276432,110.78388370471939
38,40,6,110.78388370471939,inf
39,41,0,-inf,145.22856130752206
40,41,1,145.22856130752206,156.8340048352875
41,41,2,156.8340048352875,165.76297198971764
42,41,3,165.76297198971764,174.0924496970293
43,41,4,174.0924496970293,183.0214168514595
44,41,5,183.0214168514595,194.62686037922492
45,41,6,194.62686037922492,inf
46,42,0,-inf,89.34193003952355
47,42,1,89.34193003952355,120.87185389919331
48,42,2,120.87185389919331,145.13026796593104
49,42,3,145.13026796593104,167.75997593650794
50,42,4,167.75997593650794,192.0183900032457
51,42,5,192.0183900032457,223.54831386291545
52,42,6,223.54831386291545,inf
53,43,0,-inf,3.8996761431311078
54,43,1,3.8996761431311078,4.050886399266601
55,43,2,4.050886399266601,4.167224168453675
56,43,3,4.167224168453675,4.275751038157894
57,43,4,4.275751038157894,4.392088807344968
58,43,5,4.392088807344968,4.543299063480461
59,43,6,4.543299063480461,inf
60,44,0,-inf,0.9391696675719823
61,44,1,0.9391696675719823,1.0146880162241798
62,44,2,1.0146880162241798,1.0727901346877304
63,44,3,1.0727901346877304,1.1269912860772962
64,44,4,1.1269912860772962,1.1850934045408468
65,44,5,1.1850934045408468,1.2606117531930443
66,44,6,1.2606117531930443,inf
67,55,0,-inf,-0.2830287960066215
68,55,1,-0.2830287960066215,0.006582628642843202
69,55,2,0.006582628642843202,0.22940314317605254
70,55,3,0.22940314317605254,0.437263523490614
71,55,4,0.437263523490614,0.6600840380238234
72,55,5,0.6600840380238234,0.9496954626732881
73,55,6,0.9496954626732881,inf
